Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
27,0.22,-0.696,0.12,-0.634,0.6,-0.757,0.2,-0.761,0.209,-0.676,0.14,-0.644,0.15,-0.622,0.1844,-0.607
26,0.22,-0.684,0.12,-0.596,0.6,-0.743,0.2,-0.747,0.209,-0.684,0.14,-0.645,0.15,-0.639,0.1844,-0.607
23,0.22,-0.687,0.12,-0.652,0.6,-0.765,0.2,-0.76,0.209,-0.682,0.14,-0.646,0.15,-0.629,0.1844,-0.615
37,0.22,-0.7,0.12,-0.581,0.6,-0.745,0.2,-0.716,0.209,-0.664,0.14,-0.624,0.15,-0.655,0.1844,-0.557
17,0.22,-0.673,0.12,-0.626,0.6,-0.772,0.2,-0.751,0.209,-0.697,0.14,-0.656,0.15,-0.619,0.1844,-0.607
8,0.22,-0.664,0.12,-0.631,0.6,-0.783,0.2,-0.762,0.209,-0.714,0.14,-0.679,0.15,-0.605,0.1844,-0.625
26,0.22,-0.684,0.12,-0.597,0.6,-0.74,0.2,-0.748,0.209,-0.682,0.14,-0.649,0.15,-0.636,0.1844,-0.609
3,0.22,-0.66,0.12,-0.646,0.6,-0.785,0.2,-0.777,0.209,-0.689,0.14,-0.692,0.15,-0.587,0.1844,-0.626
33,0.22,-0.695,0.12,-0.56,0.6,-0.766,0.2,-0.713,0.209,-0.678,0.14,-0.636,0.15,-0.644,0.1844,-0.572
1,0.22,-0.659,0.12,-0.619,0.6,-0.769,0.2,-0.803,0.209,-0.688,0.14,-0.655,0.15,-0.586,0.1844,-0.632
15,0.22,-0.674,0.12,-0.624,0.6,-0.774,0.2,-0.763,0.209,-0.701,0.14,-0.686,0.15,-0.607,0.1844,-0.622
5,0.22,-0.644,0.12,-0.664,0.6,-0.78,0.2,-0.774,0.209,-0.708,0.14,-0.668,0.15,-0.587,0.1844,-0.631
13,0.22,-0.67,0.12,-0.624,0.6,-0.765,0.2,-0.749,0.209,-0.725,0.14,-0.674,0.15,-0.599,0.1844,-0.618
5,0.22,-0.643,0.12,-0.66,0.6,-0.778,0.2,-0.773,0.209,-0.702,0.14,-0.66,0.15,-0.587,0.1844,-0.623
32,0.22,-0.697,0.12,-0.56,0.6,-0.765,0.2,-0.717,0.209,-0.681,0.14,-0.634,0.15,-0.641,0.1844,-0.574
11,0.22,-0.665,0.12,-0.646,0.6,-0.775,0.2,-0.756,0.209,-0.713,0.14,-0.678,0.15,-0.607,0.1844,-0.617
6,0.22,-0.65,0.12,-0.656,0.6,-0.787,0.2,-0.769,0.209,-0.701,0.14,-0.664,0.15,-0.587,0.1844,-0.621
3,0.22,-0.651,0.12,-0.651,0.6,-0.781,0.2,-0.775,0.209,-0.69,0.14,-0.68,0.15,-0.58,0.1844,-0.625
